intent,rewritten_intent,snippet,question_id
Sorting Python list based on the length of the string,sort list `xs` based on the length of its elements,"print(sorted(xs, key=len))",2587402
Sorting Python list based on the length of the string,sort list `xs` in ascending order of length of elements,"xs.sort(lambda x, y: cmp(len(x), len(y)))",2587402
Sorting Python list based on the length of the string,sort list of strings `xs` by the length of string,xs.sort(key=lambda s: len(s)),2587402
how to plot arbitrary markers on a pandas data series?,plot point marker '.' on series `ts`,ts.plot(marker='.'),19939084
get all combination of n binary value,get all combination of n binary values,"lst = list(itertools.product([0, 1], repeat=n))",14931769
get all combination of n binary value,get all combination of n binary values,"lst = map(list, itertools.product([0, 1], repeat=n))",14931769
get all combination of n binary value,get all combination of 3 binary values,"bin = [0, 1]
[(x, y, z) for x in bin for y in bin for z in bin]",14931769
get all combination of n binary value,get all combination of 3 binary values,"lst = list(itertools.product([0, 1], repeat=3))",14931769
Append string to the start of each value in a said column of a pandas dataframe (elegantly),append string 'str' at the beginning of each value in column 'col' of dataframe `df`,df['col'] = 'str' + df['col'].astype(str),20025882
How to get a variable name as a string in Python?,"get a dict of variable names `['some', 'list', 'of', 'vars']` as a string and their values","dict((name, eval(name)) for name in ['some', 'list', 'of', 'vars'])",2553354
How to add a colorbar for a hist2d plot,add a colorbar to plot `plt` using image `im` on axes `ax`,"plt.colorbar(im, ax=ax)",42387471
How to get every element in a list of list of lists?,convert nested list 'Cards' into a flat list,[a for c in Cards for b in c for a in b],16734590
Sorting dictionary keys in python,create a list containing keys of dictionary `d` and sort it alphabetically,"sorted(d, key=d.get)",575819
How to count the number of occurences of `None` in a list?,print the number of occurences of not `none` in a list `lst` in Python 2,print(len([x for x in lst if x is not None])),29422691
Accessing dictionary by key in Django template,lookup dictionary key `key1` in Django template `json`,{{json.key1}},19745091
Get unique values from a list in python,remove duplicates from list `myset`,mynewlist = list(myset),12897374
Get unique values from a list in python,"get unique values from the list `['a', 'b', 'c', 'd']`","set(['a', 'b', 'c', 'd'])",12897374
Python: A4 size for a plot,"set size of `figure` to landscape A4 i.e. `11.69, 8.27` inches","figure(figsize=(11.69, 8.27))",15571267
How to get everything after last slash in a URL?,get every thing after last `/`,"url.rsplit('/', 1)",7253803
How to get everything after last slash in a URL?,get everything after last slash in a url stored in variable 'url',"url.rsplit('/', 1)[-1]",7253803
how to read a file in other directory in python,open file '5_1.txt' in directory `direct`,"x_file = open(os.path.join(direct, '5_1.txt'), 'r')",13223737
How to create a list with the characters of a string?,create a list with the characters of a string `5+6`,list('5+6'),5501641
Flattening a list of NumPy arrays?,concatenate a list of numpy arrays `input_list` together into a flattened list of values,np.concatenate(input_list).ravel().tolist(),33711985
Converting a dict into a list,convert dictionary `dict` into a flat list,print([y for x in list(dict.items()) for y in x]),11351874
Converting a dict into a list,Convert a dictionary `dict` into a list with key and values as list items.,[y for x in list(dict.items()) for y in x],11351874
How to pull a random record using Django's ORM?,get a random record from model 'MyModel' using django's orm,MyModel.objects.order_by('?').first(),962619
change current working directory in python,change current working directory to directory 'chapter3',os.chdir('chapter3'),20796355
change current working directory in python,change current working directory,os.chdir('C:\\Users\\username\\Desktop\\headfirstpython\\chapter3'),20796355
change current working directory in python,change current working directory,os.chdir('.\\chapter3'),20796355
How to create single Python dict from a list of dicts by summing values with common keys?,create a flat dictionary by summing values associated with similar keys in each dictionary of list `dictlist`,"dict((key, sum(d[key] for d in dictList)) for key in dictList[0])",974678
How to sort pandas data frame using values from several columns?,sort pandas data frame `df` using values from columns `c1` and `c2` in ascending order,"df.sort(['c1', 'c2'], ascending=[True, True])",17618981
Converting string series to float list,Converting string lists `s` to float list,floats = [float(x) for x in s.split()],4004550
Converting string series to float list,Converting string lists `s` to float list,"floats = map(float, s.split())",4004550
"How to set ""step"" on axis X in my figure in matplotlib python 2.6.6?","set labels `[1, 2, 3, 4, 5]` on axis X in plot `plt`","plt.xticks([1, 2, 3, 4, 5])",10839719
read from stdin,read line by line from stdin,"for line in fileinput.input():
    pass",1450393
read from stdin,read line by line from stdin,"for line in sys.stdin:
    pass",1450393
How to check if a value exists in a dictionary (python),check if string `one` exists in the values of dictionary `d`,'one' in list(d.values()),8214932
How to check if a value exists in a dictionary (python),Check if value 'one' is among the values of dictionary `d`,'one' in iter(d.values()),8214932
Calling a parent class constructor from a child class in python,call parent class `Instructor` of child class constructor,"super(Instructor, self).__init__(name, year)",12557612
how to create a dictionary using two lists in python?,create a dictionary using two lists`x` and `y`,"dict(zip(x, y))",15183084
Sorting a list of dicts by dict values,sort a list of dictionaries `a` by dictionary values in descending order,"sorted(a, key=lambda i: list(i.values())[0], reverse=True)",10915391
Sorting a list of dicts by dict values,sorting a list of dictionary `a` by values in descending order,"sorted(a, key=dict.values, reverse=True)",10915391
pandas: how to do multiple groupby-apply operations,"Use multiple groupby and agg operations `sum`, `count`, `std` for pandas data frame `df`","df.groupby(level=0).agg(['sum', 'count', 'std'])",39159475
How to add multiple values to a dictionary key in python?,"for a dictionary `a`, set default value for key `somekey` as list and append value `bob`  in that key","a.setdefault('somekey', []).append('bob')",20585920
Python - sum values in dictionary,sum values in list of dictionaries `example_list` with key 'gold',sum(item['gold'] for item in example_list),11692613
Python - sum values in dictionary,get a sum of all values from key `gold` in a list of dictionary `example_list`,sum([item['gold'] for item in example_list]),11692613
Python - sum values in dictionary,Get all the values in key `gold` summed from a list of dictionary `myLIst`,sum(item['gold'] for item in myLIst),11692613
writing string to a file on a new line everytime?,writing string 'text to write\n' to file `f`,f.write('text to write\n'),2918362
writing string to a file on a new line everytime?,Write a string `My String` to a file `file` including new line character,file.write('My String\n'),2918362
Finding consecutive segments in a pandas data frame,find consecutive segments from a column 'A' in a pandas data frame 'df',df.reset_index().groupby('A')['index'].apply(np.array),14358567
Python - how to refer to relative paths of resources when working with code repository,get a relative path of file 'my_file' into variable `fn`,"fn = os.path.join(os.path.dirname(__file__), 'my_file')",1270951
How to retrieve an element from a set without removing it?,retrieve an element from a set `s` without removing it,e = next(iter(s)),59825
How to execute a command prompt command from python,execute a command in the command prompt to list directory contents of the c drive `c:\\',os.system('dir c:\\'),5486725
How to auto-scroll a gtk.scrolledwindow?,Make a auto scrolled window to the end of the list in gtk,"self.treeview.connect('size-allocate', self.treeview_changed)",5218948
Python: Find in list,"check if 3 is inside list `[1, 2, 3]`","3 in [1, 2, 3]",9542738
Convert date format python,Represent DateTime object '10/05/2012' with format '%d/%m/%Y' into format '%Y-%m-%d',"datetime.datetime.strptime('10/05/2012', '%d/%m/%Y').strftime('%Y-%m-%d')",10541640
python : how to convert string literal to raw string literal?,convert a string literal `s` with values `\\` to raw string literal,"s = s.replace('\\', '\\\\')",7262828
Get output of python script from within python script,get output of script `proc`,print(proc.communicate()[0]),6086047
Getting pandas dataframe from list of nested dictionaries,create a pandas data frame from list of nested dictionaries `my_list`,"pd.concat([pd.DataFrame(l) for l in my_list], axis=1).T",41946927
Delete Column in Pandas based on Condition,delete all columns in  DataFrame `df` that do not hold a non-zero value in its records,"df.loc[:, ((df != 0).any(axis=0))]",21164910
How to sort multidimensional array by column?,sort a multidimensional array `a` by column with index 1,"sorted(a, key=lambda x: x[1])",20183069
string to list conversion in python,"split string `s` to list conversion by ','","[x.strip() for x in s.split(',')]",9905471
Get list item by attribute in Python,Get a list of items in the list `container` with attribute equal to `value`,items = [item for item in container if item.attribute == value],9089043
Python: Write a list of tuples to a file,create a file 'filename' with each tuple in the list `mylist` written to a line,"open('filename', 'w').write('\n'.join('%s %s' % x for x in mylist))",3820312
Python regex to match multiple times,Get multiple matched strings using regex pattern `(?:review: )?(http://url.com/(\\d+))\\s?`,"pattern = re.compile('(?:review: )?(http://url.com/(\\d+))\\s?', re.IGNORECASE)",17407691
How do I read a text file into a string variable in Python,read a text file 'very_Important.txt' into a string variable `str`,"str = open('very_Important.txt', 'r').read()",8369219
Grouping dataframes in pandas?,Return values for column `C` after group by on column `A` and `B` in dataframe `df`,"df.groupby(['A', 'B'])['C'].unique()",33680914
read a file line by line into a list,read file `fname` line by line into a list `content`,"with open(fname) as f:
    content = f.readlines()",3277503
read a file line by line into a list,read file 'filename' line by line into a list `lines`,"with open('filename') as f:
    lines = f.readlines()",3277503
read a file line by line into a list,read file 'filename' line by line into a list `lines`,lines = [line.rstrip('\n') for line in open('filename')],3277503
read a file line by line into a list,"read file ""file.txt"" line by line into a list `array`","with open('file.txt', 'r') as ins:
    array = []
    for line in ins:
        array.append(line)",3277503
Convert DataFrame column type from string to datetime,convert the dataframe column 'col' from string types to datetime types,df['col'] = pd.to_datetime(df['col']),17134716
Can a list of all member-dict keys be created from a dict of dicts using a list comprehension?,get a list of the keys in each dictionary in a dictionary of dictionaries `foo`,[k for d in list(foo.values()) for k in d],41251391
Possible to get user input without inserting a new line?,"get user input using message 'Enter name here: ' and insert it to the first placeholder in string 'Hello, {0}, how do you do?'","print('Hello, {0}, how do you do?'.format(input('Enter name here: ')))",7173850
Create Pandas DataFrame from txt file with specific pattern,create pandas data frame `df` from txt file `filename.txt` with column `Region Name` and separator `;`,"df = pd.read_csv('filename.txt', sep=';', names=['Region Name'])",41386443
Pandas: How can I use the apply() function for a single column?,,df['a'] = df['a'].apply(lambda x: x + 1),34962104
How to check whether the system is FreeBSD in a python script?,get the platform OS name,platform.system(),30015665
How to sort python list of strings of numbers,sort list `a` in ascending order based on its elements' float values,"a = sorted(a, key=lambda x: float(x))",17474211
Finding words after keyword in python,finding words in string `s` after keyword 'name',"re.search('name (.*)', s)",6633678
Removing _id element from Pymongo results,Find all records from collection `collection` without extracting mongo id `_id`,"db.collection.find({}, {'_id': False})",12345387
How do you extract a column from a multi-dimensional array?,Get all the second values from a list of lists `A`,[row[1] for row in A],903853
How do you extract a column from a multi-dimensional array?,extract first column from a multi-dimensional array `a`,[row[0] for row in a],903853
Python - how to sort a list of numerical values in ascending order,"sort list `['10', '3', '2']` in ascending order based on the integer value of its elements","sorted(['10', '3', '2'], key=int)",9758959
How can I tell if a file is a descendant of a given directory?,check if file `filename` is descendant of directory '/the/dir/',"os.path.commonprefix(['/the/dir/', os.path.realpath(filename)]) == '/the/dir/'",3328012
Python: How to check a string for substrings from a list?,check if any element of list `substring_list` are in string `string`,any(substring in string for substring in substring_list),8122079
Construct pandas DataFrame from list of tuples,construct pandas dataframe from a list of tuples,"df = pandas.DataFrame(data, columns=['R_Number', 'C_Number', 'Avg', 'Std'])",19961490
How to find and replace nth occurence of word in a sentence using python regular expression?,find and replace 2nd occurrence of word 'cat' by 'Bull' in a sentence 's',"re.sub('^((?:(?!cat).)*cat(?:(?!cat).)*)cat', '\\1Bull', s)",27589325
How to find and replace nth occurence of word in a sentence using python regular expression?,find and replace 2nd occurrence of word 'cat' by 'Bull' in a sentence 's',"re.sub('^((.*?cat.*?){1})cat', '\\1Bull', s)",27589325
Sort list of strings by integer suffix in python,sort list of strings in list `the_list` by integer suffix,"sorted(the_list, key=lambda k: int(k.split('_')[1]))",4287209
Sort list of strings by integer suffix in python,"sort list of strings `the_list` by integer suffix before ""_""","sorted(the_list, key=lambda x: int(x.split('_')[1]))",4287209
How to group similar items in a list?,make a list of lists in which each list `g` are the elements from list `test` which have the same characters up to the first `_` character,"[list(g) for _, g in itertools.groupby(test, lambda x: x.split('_')[0])]",27659153
How to group similar items in a list?,,"[list(g) for _, g in itertools.groupby(test, lambda x: x.partition('_')[0])]",27659153
How do I use the HTMLUnit driver with Selenium from Python?,Load the url `http://www.google.com` in selenium webdriver `driver`,driver.get('http://www.google.com'),4618373
"Using Python's datetime module, can I get the year that UTC-11 is currently in?","using python's datetime module, get the year that utc-11 is currently in",(datetime.datetime.utcnow() - datetime.timedelta(hours=11)).year,14043080
How to find the difference between 3 lists that may have duplicate numbers,"Get the difference between two lists `[1, 2, 2, 2, 3]` and `[1, 2]` that may have duplicate values","Counter([1, 2, 2, 2, 3]) - Counter([1, 2])",33435418
How to remove tags from a string in python using regular expressions? (NOT in HTML),remove tags from a string `mystring`,"re.sub('<[^>]*>', '', mystring)",3662142
How can I unpack binary hex formatted data in Python?,encode string `data` as `hex`,data.encode('hex'),200738
How to do a less than or equal to filter in Django queryset?,filter `Users` by field `userprofile` with level greater than or equal to `0`,User.objects.filter(userprofile__level__gte=0),10040143
How to use Beautiful Soup to find a tag with changing id?,BeautifulSoup find a tag whose id ends with string 'para',soup.findAll(id=re.compile('para$')),11924135
How to use Beautiful Soup to find a tag with changing id?,select `div` tags whose `id`s begin with `value_xxx_c_1_f_8_a_`,"soup.select('div[id^=""value_xxx_c_1_f_8_a_""]')",11924135
How to delete an item in a list if it exists?,delete an item `thing` in a list `some_list` if it exists,cleaned_list = [x for x in some_list if x is not thing],4915920
user input and commandline arguments,"print ""Please enter something: "" to console, and read user input to `var`",var = input('Please enter something: '),70797
Add to integers in a list,append 4 to list `foo`,foo.append(4),4641765
Add to integers in a list,"append a list [8, 7] to list `foo`","foo.append([8, 7])",4641765
Add to integers in a list,insert 77 to index 2 of list `x`,"x.insert(2, 77)",4641765
Removing white space around a saved image in matplotlib,remove white space padding around a saved image `test.png` in matplotlib,"plt.savefig('test.png', bbox_inches='tight')",11837979
concatenate lists,concatenate lists `listone` and `listtwo`,(listone + listtwo),1720421
concatenate lists,iterate items in lists `listone` and `listtwo`,"for item in itertools.chain(listone, listtwo):
    pass",1720421
how do you filter pandas dataframes by multiple columns,create dataframe `males` containing data of dataframe `df` where column `Gender` is equal to 'Male' and column `Year` is equal to 2014,males = df[(df[Gender] == 'Male') & (df[Year] == 2014)],22086116
How to print backslash with Python?,print backslash,print('\\'),19095796
How to replace values with None in Pandas data frame in Python?,replace '-' in pandas dataframe `df` with `np.nan`,"df.replace('-', np.nan)",17097236
Delete column from pandas DataFrame,delete column 'column_name' from dataframe `df`,"df = df.drop('column_name', 1)",13411544
Delete column from pandas DataFrame,"delete 1st, 2nd and 4th columns from dataframe `df`","df.drop(df.columns[[0, 1, 3]], axis=1)",13411544
Delete column from pandas DataFrame,delete a column `column_name` without having to reassign from pandas data frame `df`,"df.drop('column_name', axis=1, inplace=True)",13411544
Disable abbreviation in argparse,disable abbreviation in argparse,parser = argparse.ArgumentParser(allow_abbrev=False),10750802
Extract dictionary value from column in data frame,extract dictionary values by key 'Feature3' from data frame `df`,feature3 = [d.get('Feature3') for d in df.dic],35711059
How to access pandas groupby dataframe by key,get data of column 'A' and column 'B' in dataframe `df` where column 'A' is equal to 'foo',"df.loc[gb.groups['foo'], ('A', 'B')]",14734533
String formatting in Python,"print '[1, 2, 3]'","print('[%s, %s, %s]' % (1, 2, 3))",517355
String formatting in Python,Display `1 2 3` as a list of string,"print('[{0}, {1}, {2}]'.format(1, 2, 3))",517355
Accessing Python dict values with the key start characters,get values from a dictionary `my_dict` whose key contains the string `Date`,"[v for k, v in list(my_dict.items()) if 'Date' in k]",17106819
Python date string formatting,,"""""""{0.month}/{0.day}/{0.year}"""""".format(my_date)",18724607
Dropping a single (sub-) column from a MultiIndex,drop a single subcolumn 'a' in column 'col1' from a dataframe `df`,"df.drop(('col1', 'a'), axis=1)",22397058
Dropping a single (sub-) column from a MultiIndex,"dropping all columns named 'a' from a multiindex 'df', across all level.","df.drop('a', level=1, axis=1)",22397058
Build Dictionary in Python Loop - List and Dictionary Comprehensions,build dictionary with keys of dictionary `_container` as keys and values of returned value of function `_value` with correlating key as parameter,{_key: _value(_key) for _key in _container},19121722
How to click on the text button using selenium python,click on the text button 'section-select-all' using selenium python,browser.find_element_by_class_name('section-select-all').click(),34527388
"Python - Combine two dictionaries, concatenate string values?","combine two dictionaries `d ` and `d1`, concatenate string values with identical `keys`","dict((k, d.get(k, '') + d1.get(k, '')) for k in keys)",17604837
How to generate unique equal hash for equal dictionaries?,generate unique equal hash for equal dictionaries `a` and `b`,hash(pformat(a)) == hash(pformat(b)),16735786
How to convert nested list of lists into a list of tuples in python 3.3?,"convert nested list of lists `[['tom', 'cat'], ['jerry', 'mouse'], ['spark', 'dog']]` into a list of tuples","list(map(tuple, [['tom', 'cat'], ['jerry', 'mouse'], ['spark', 'dog']]))",18938276
Summing across rows of Pandas Dataframe,"sum the column `positions` along the  other columns `stock`, `same1`, `same2` in a pandas data frame `df`","df.groupby(['stock', 'same1', 'same2'], as_index=False)['positions'].sum()",17166601
Summing across rows of Pandas Dataframe,,"df.groupby(['stock', 'same1', 'same2'])['positions'].sum().reset_index()",17166601
change a string into uppercase,change string `s` to upper case,s.upper(),9257094
"Splitting a semicolon-separated string to a dictionary, in Python",split a string `s` by ';' and convert to a dictionary,dict(item.split('=') for item in s.split(';')),186857
how to set cookie in python mechanize,"Add header `('Cookie', 'cookiename=cookie value')` to mechanize browser `br`","br.addheaders = [('Cookie', 'cookiename=cookie value')]",15459217
How to remove square bracket from pandas dataframe,set data in column 'value' of dataframe `df` equal to first element of each list,df['value'] = df['value'].str[0],38147447
How to remove square bracket from pandas dataframe,get element at index 0 of each list in column 'value' of dataframe `df`,df['value'] = df['value'].str.get(0),38147447
How to remove square bracket from pandas dataframe,remove square bracket '[]' from pandas dataframe `df` column 'value',df['value'] = df['value'].str.strip('[]'),38147447
Python getting a string (key + value) from Python Dictionary,Get a string with string formatting from dictionary `d`,""""""", """""".join(['{}_{}'.format(k, v) for k, v in d.items()])",17462994
Easier way to add multiple list items?,"Sum of sums of each list, in a list of lists named 'lists'.",sum(sum(x) for x in lists),15465204
testing whether a Numpy array contains a given row,"Check whether a numpy array `a` contains a given row `[1, 2]`","any(np.equal(a, [1, 2]).all(1))",14766194
How do I check if all elements in a list are the same?,check if all elements in list `mylist` are the same,len(set(mylist)) == 1,22240602
How to split a string at line breaks in python?,split a string `s` at line breaks `\r\n`,"[map(int, x.split('\t')) for x in s.rstrip().split('\r\n')]",21205074
Create a hierarchy from a dictionary of lists,sort a dictionary `a` by values that are list type,"t = sorted(list(a.items()), key=lambda x: x[1])",20230211
Search for string in txt file,Search for string 'blabla' in txt file 'example.txt',"if ('blabla' in open('example.txt').read()):
    pass",4940032
Search for string in txt file,Search for string 'blabla' in txt file 'example.txt',"f = open('example.txt')
s = mmap.mmap(f.fileno(), 0, access=mmap.ACCESS_READ)
if (s.find('blabla') != (-1)):
    pass",4940032
Search for string in txt file,Search for string `blabla` in txt file 'example.txt',"datafile = file('example.txt')
found = False
for line in datafile:
    if (blabla in line):
        return True
return False",4940032
Replacing the empty strings in a string,insert string `string1` after each character of `string2`,"string2.replace('', string1)[len(string1):-len(string1)]",14431731
getting every possible combination in a list,getting every possible combination of two elements in a list,"list(itertools.combinations([1, 2, 3, 4, 5, 6], 2))",5106228
Python 3: How do I get a string literal representation of a byte string?,get a utf-8 string literal representation of byte string `x`,"""""""x = {}"""""".format(x.decode('utf8')).encode('utf8')",15390374
Checking whether a variable is an integer,check if `x` is an integer,"isinstance(x, int)",3501382
Checking whether a variable is an integer,check if `x` is an integer,(type(x) == int),3501382
Play a Sound with Python,play the wav file 'sound.wav',"winsound.PlaySound('sound.wav', winsound.SND_FILENAME)",307305
How to get the n next values of a generator in a list (python),create a list containing the `n` next values of generator `it`,[next(it) for _ in range(n)],4152376
How to get the n next values of a generator in a list (python),get list of n next values of a generator `it`,"list(itertools.islice(it, 0, n, 1))",4152376
How can I compare two lists in python and return matches,compare two lists in python `a` and `b` and return matches,set(a).intersection(b),1388818
How can I compare two lists in python and return matches,,"[i for i, j in zip(a, b) if i == j]",1388818
"How to print a list with integers without the brackets, commas and no quotes?",convert list `data` into a string of its elements,"print(''.join(map(str, data)))",17757450
python regex: match a string with only one instance of a character,match regex pattern '\\$[0-9]+[^\\$]*$' on string '$1 off delicious $5 ham.',"re.match('\\$[0-9]+[^\\$]*$', '$1 off delicious $5 ham.')",3166619
How to import a module in Python with importlib.import_module,import a nested module `c.py` within `b` within `a` with importlib,"importlib.import_module('.c', 'a.b')",10675054
How to import a module in Python with importlib.import_module,import a module 'a.b.c' with importlib.import_module in python 2,importlib.import_module('a.b.c'),10675054
how to convert 2d list to 2d numpy array?,Convert array `a` to numpy array,a = np.array(a),7717380
Python regular expression for Beautiful Soup,Find all `div` tags whose classes has the value `comment-` in a beautiful soup object `soup`,"soup.find_all('div', class_=re.compile('comment-'))",13794532
A sequence of empty lists of length n in Python?,a sequence of empty lists of length `n`,[[] for _ in range(n)],23612271
create dictionary from list of variables,create dictionary from list of variables 'foo' and 'bar' already defined,"dict((k, globals()[k]) for k in ('foo', 'bar'))",9495262
How to get two random records with Django,get two random records from model 'MyModel' in Django,MyModel.objects.order_by('?')[:2],1731346
How to use a dot in Python format strings?,Print a dictionary `{'user': {'name': 'Markus'}}` with string formatting,"""""""Hello {user[name]}"""""".format(**{'user': {'name': 'Markus'}})",29035168
Python: using a dict to speed sorting of a list of tuples,create a dictionary `list_dict` containing each tuple in list `tuple_list` as values and the tuple's first element as the corresponding key,list_dict = {t[0]: t for t in tuple_list},20059427
Generate random integers between 0 and 9,Generate a random integer between 0 and 9,"randint(0, 9)",3996904
Generate random integers between 0 and 9,Generate a random integer between `a` and `b`,"random.randint(a, b)",3996904
Generate random integers between 0 and 9,Generate random integers between 0 and 9,"print((random.randint(0, 9)))",3996904
Reverse a string in Python two characters at a time (Network byte order),reverse a string `a` by 2 characters at a time,""""""""""""".join(reversed([a[i:i + 2] for i in range(0, len(a), 2)]))",5864271
How to transform a time series pandas dataframe using the index attributes?,transform time series `df` into a pivot table aggregated by column 'Close' using column `df.index.date` as index and values of column `df.index.time` as columns,"pd.pivot_table(df, index=df.index.date, columns=df.index.time, values='Close')",28664103
How to check if all elements of a list matches a condition?,"check if the third element of all the lists in a list ""items"" is equal to zero.",any(item[2] == 0 for item in items),10666163
How to check if all elements of a list matches a condition?,Find all the lists from a lists of list 'items' if third element in all sub-lists is '0',[x for x in items if x[2] == 0],10666163
Python: sorting dictionary of dictionaries,sort dictionary of dictionaries `dic` according to the key 'Fisher',"sorted(list(dic.items()), key=lambda x: x[1]['Fisher'], reverse=True)",16412563
Logarithmic y-axis bins in python,plot a data logarithmically in y axis,"plt.yscale('log', nonposy='clip')",17952279
extract digits in a simple way from a python string,,"map(int, re.findall('\\d+', s))",10365225
How can I list the contents of a directory in Python?,list the contents of a directory '/home/username/www/',os.listdir('/home/username/www/'),2759323
How can I list the contents of a directory in Python?,list all the contents of the directory 'path'.,os.listdir('path'),2759323
How to merge two DataFrames into single matching the column values,merge a pandas data frame `distancesDF` and column `dates` in pandas data frame `datesDF` into single,"pd.concat([distancesDF, datesDF.dates], axis=1)",40076861
Python How to get every first element in 2 Dimensional List,get value of first index of each element in list `a`,[x[0] for x in a],30062429
Python How to get every first element in 2 Dimensional List,python how to get every first element in 2 dimensional list `a`,[i[0] for i in a],30062429
Regular expression to remove line breaks,remove line breaks from string `textblock` using regex,"re.sub('(?<=[a-z])\\r?\\n', ' ', textblock)",5075247
Reading utf-8 characters from a gzip file in python,Open gzip-compressed file encoded as utf-8 'file.gz' in text mode,"gzip.open('file.gz', 'rt', encoding='utf-8')",1883604
Can Python test the membership of multiple values in a list?,"test if either of strings `a` or `b` are members of the set of strings, `['b', 'a', 'foo', 'bar']`","set(['a', 'b']).issubset(['b', 'a', 'foo', 'bar'])",6159313
Can Python test the membership of multiple values in a list?,"Check if all the values in a list `['a', 'b']` are present in another list `['b', 'a', 'foo', 'bar']`","all(x in ['b', 'a', 'foo', 'bar'] for x in ['a', 'b'])",6159313
Remove specific characters from a string,"Remove characters ""!@#$"" from a string `line`","line.translate(None, '!@#$')",3939361
Remove specific characters from a string,"Remove characters ""!@#$"" from a string `line`","line = re.sub('[!@#$]', '', line)",3939361
Remove specific characters from a string,"Remove string ""1"" from string `string`","string.replace('1', '')",3939361
Remove specific characters from a string,Remove character `char` from a string `a`,"a = a.replace(char, '')",3939361
Remove specific characters from a string,Remove characters in `b` from a string `a`,"a = a.replace(char, '')",3939361
Remove specific characters from a string,Remove characters in '!@#$' from a string `line`,"line = line.translate(string.maketrans('', ''), '!@#$')",3939361
How to binarize the values in a pandas DataFrame?,binarize the values in columns of list `order` in a pandas data frame,"pd.concat([df, pd.get_dummies(df, '', '').astype(int)], axis=1)[order]",38704545
Storing a collection of integers in a list,"store integer 3, 4, 1 and 2 in a list","[3, 4, 1, 2]",19672101
Is it possible to define global variables in a function in Python,define global variable `something` with value `bob`,globals()['something'] = 'bob',13627865
I'm looking for a pythonic way to insert a space before capital letters,insert spaces before capital letters in string `text`,"re.sub('([a-z](?=[A-Z])|[A-Z](?=[A-Z][a-z]))', '\\1 ', text)",199059
How can I convert Unicode to uppercase to print it?,print unicode string `ex\xe1mple` in uppercase,print('ex\xe1mple'.upper()),727507
Remove string from list if from substring list,get last element of string splitted by '\\' from list of strings `list_dirs`,[l.split('\\')[-1] for l in list_dirs],28657018
What's the Pythonic way to combine two sequences into a dictionary?,combine two sequences into a dictionary,"dict(zip(keys, values))",579856
How to Customize the time format for Python logging?,customize the time format in python logging,formatter = logging.Formatter('%(asctime)s;%(levelname)s;%(message)s'),3220284
Python Regex replace,Replace comma with dot in a string `original_string` using regex,"new_string = re.sub('""(\\d+),(\\d+)""', '\\1.\\2', original_string)",8172861
Can a python script execute a function inside a bash script?,call a function `otherfunc` inside a bash script `test.sh` using subprocess,subprocess.call('test.sh otherfunc'),5826427
Can a python script execute a function inside a bash script?,,"subprocess.Popen(['bash', '-c', '. foo.sh; go'])",5826427
A simple way to remove multiple spaces in a string in Python,remove multiple spaces in a string `foo`,""""""" """""".join(foo.split())",1546226
How to convert decimal to binary list in python,convert decimal 8 to a list of its binary values,list('{0:0b}'.format(8)),13557937
How to convert decimal to binary list in python,convert decimal integer 8 to a list of its binary values as elements,[int(x) for x in list('{0:0b}'.format(8))],13557937
How to convert decimal to binary list in python,convert decimal `8` to binary list,[int(x) for x in bin(8)[2:]],13557937
"Is it possible to take an ordered ""slice"" of a dictionary in Python based on a list of keys?",get key-value pairs in dictionary `my_dictionary` for all keys in list `my_list` in the order they appear in `my_list`,"dict(zip(my_list, map(my_dictionary.get, my_list)))",9932549
Numpy: cartesian product of x and y array points into single array of 2D points,cartesian product of `x` and `y` array points into single array of 2d points,"numpy.dstack(numpy.meshgrid(x, y)).reshape(-1, 2)",11144513
Selenium Webdriver - NoSuchElementExceptions,selenium wait for driver `driver` 60 seconds before throwing a NoSuchElementExceptions exception,driver.implicitly_wait(60),16739319
Selenium Webdriver - NoSuchElementExceptions,selenium webdriver switch to frame 'frameName',driver.switch_to_frame('frameName'),16739319
Format time string in Python 3.3,format current date to pattern '{%Y-%m-%d %H:%M:%S}',time.strftime('{%Y-%m-%d %H:%M:%S}'),21618351
How do I sort a Python list of time values?,"sort list `['14:10:01', '03:12:08']`","sorted(['14:10:01', '03:12:08'])",17713873
Regex for location matching - Python,"find all occurrences of regex pattern '(?:\\w+(?:\\s+\\w+)*,\\s)+(?:\\w+(?:\\s\\w+)*)' in string `x`","re.findall('(?:\\w+(?:\\s+\\w+)*,\\s)+(?:\\w+(?:\\s\\w+)*)', x)",20778951
Pandas: How can I remove duplicate rows from DataFrame and calculate their frequency?,remove duplicate rows from dataframe `df1` and calculate their frequency,"df1.groupby(['key', 'year']).size().reset_index()",21558999
"How do I iterate over a Python dictionary, ordered by values?",sort dictionary `dictionary` in ascending order by its values,"sorted(list(dictionary.items()), key=operator.itemgetter(1))",674509
"How do I iterate over a Python dictionary, ordered by values?",Iterate over dictionary `d` in ascending order of values,"sorted(iter(d.items()), key=lambda x: x[1])",674509
"How do I iterate over a Python dictionary, ordered by values?","iterate over a python dictionary, ordered by values","sorted(list(dictionary.items()), key=lambda x: x[1])",674509
How to split 1D array into 2D array in NumPy by splitting the array at the last element?,split 1d array `a` into 2d array at the last element,"np.split(a, [-1])",42098487
