intent,snippet
maximum value within a tuple list list,"max(flatlist, key=lambda x: x[1])"
convert a string to a list in python,"[int(x) for x in '0,1,2'.split(',')]"
the fastest way to sort each row in pandas data frame,"df.sort(axis=1, ascending=False)"
run python script shell with variable,"subprocess.call(['test.sh', str(domid)])"
how can i compare two lists in python and return matches,"[i for i, j in zip(a, b) if i == j]"
relevance of type name in nametuple,"Point = namedtuple('whatsmypurpose', ['x', 'y'], verbose=True)"
python/mattplotlib - is there a way to make a discontinuous axis?,plt.show()
how can i check if an insertion was successful with mysqldb in python?,conn.commit()
sorting a list of tuples in python,"sorted(list_of_tuples, key=lambda tup: tup[1])"
taking the results of a bash command and using it in python,"os.system(""awk '{print $10, $11}' test.txt > test2.txt"")"
how to convert a list of multiple integers into a single integer?,"r = int(''.join(map(str, x)))"
how to get yesterday in python,datetime.datetime.now() - datetime.timedelta(days=1)
how can i launch an instance of an application using python?,os.system('start excel.exe <path/to/file>')
why can't i convert a list of strs to a list of floaters?,"['0', '182', '283', '388', '470', '579', '757', '']"
"how to ""scale"" a nuppy matrix?","array([[1, 1, 1, 1], [1, 1, 1, 1], [0, 0, 1, 1], [0, 0, 1, 1]])"
python: points in the name of the variable in the format string,"""""""Name: {0[person.name]}"""""".format({'person.name': 'Joe'})"
python json encoding,"json.dumps({'apple': 'cat', 'banana': 'dog', 'pear': 'fish'})"
pandas: how can i use the apply() function for a single column?,df['a'] = df['a'].apply(lambda x: x + 1)
how can i merge a list of dictations into a single dictation?,"{k: v for d in L for k, v in list(d.items())}"
"using urlib2 to make a soap message, but i still get a mistake","urllib.parse.urlencode([('a', '1'), ('b', '2'), ('b', '3')])"
how to sort a list according to another list?,a.sort(key=lambda x: b.index(x[0]))
what is the best way to sort the list with custom sorting parameters in python?,li1.sort(key=lambda x: not x.startswith('b.'))
python: extracting numbers from the string,"[int(s) for s in re.findall('\\b\\d+\\b', ""he33llo 42 I'm a 32 string 30"")]"
python: converting a string to an integer,int('  23  ')
convert date string to weekday,"datetime.datetime.strptime('January 11, 2010', '%B %d, %Y').strftime('%a')"
how to filter a dictionary in python?,"dict((k, 'updated') for k, v in d.items() if v is None)"
extract digits from the simple way of the python string,"map(int, re.findall('\\d+', s))"
list of lists in array nuppy,"numpy.array([[1, 2], [3, 4]])"
how to filter a dictionary in python?,"dict((k, 'updated') for k, v in d.items() if v != 'None')"
convert the list of tuples to several lists in python,"map(list, zip(*[(1, 2), (3, 4), (5, 6)]))"
how to get the specific class name like a rope?,instance.__class__.__name__
upload file with python mechanize,"br.form.add_file(open(filename), 'text/plain', filename)"
get every possible combination on the list,"list(itertools.combinations([1, 2, 3, 4, 5, 6], 2))"
phython url encoding,urllib.parse.quote_plus('a b')
how to convert a list into a pandas data frame,df['col1'] = df['col1'].apply(lambda i: ''.join(i))
convert binary string to integer list using python,"[int(s[i:i + 3], 2) for i in range(0, len(s), 3)]"
how to find all the occurrences of an element in a list?,"indices = [i for i, x in enumerate(my_list) if x == 'whatever']"
python convert list to dictionary,"l = [['a', 'b'], ['c', 'd'], ['e']]"
create a list of dictionaries in python,"[{'A': 1, 'C': 4, 'B': 2, 'D': 4}, {'A': 1, 'C': 4, 'B': 1, 'D': 5}]"
how can i divide and analyze a string in python?,"""""""2.7.0_bf4fda703454"""""".split('_')"
order dict by value python,"sorted(list(data.items()), key=lambda x: x[1])"
clicking on a link using selenium using python,driver.find_element_by_xpath('xpath').click()
create a dictionary from a csv file,"{'Date': ['123', 'abc'], 'Foo': ['456', 'def'], 'Bar': ['789', 'ghi']}"
join the byte list with python,""""""""""""".join(['line 1\n', 'line 2\n'])"
how can i convert a url query string into a list of tuples using python?,"[('foo', 'bar'), ('key', 'val')]"
write data to a python file,f.close()
sort the pandas data frame by date,df.sort_values(by='Date')
how to draw two columns of a pandas data frame using points?,"df.plot(x='col_name_1', y='col_name_2', style='o')"
how can i convert datetime to datetime (in python)?,datetime.datetime.now().date()
analyze the html table with python beautifulsoup,"soup.find_all('td', attrs={'bgcolor': '#FFFFCC'})"
how does this function work to remove duplicate characters from a python string?,print(' '.join(set(s)))
inverse matrix using numpy,"numpy.array([[0, 1, 0], [0, 0, 0], [0, 0, 0]])"
python get a value list from the dict list,[d['value'] for d in l]
how to write a csv unicode in python 2.7,self.writer.writerow([str(s).encode('utf-8') for s in row])
indexless string format in python2.6,"'%s %s' % ('foo', 'bar')"
how to divide long rules of regular expression to multiple lines in python,re.compile('[A-Za-z_][A-Za-z0-9_]*')
python how to get every first element in 2 dimensional list,[i[0] for i in a]
what is the most pitonic way to exclude elements from a list that begin with a specific character?,[x for x in my_list if not x.startswith('#')]
how to sort a dictionary in python by value when the value is a list and i want to sort it by the first index of that list,"sorted(list(data.items()), key=lambda x: x[1][0])"
how to group similar items into a list?,"[list(g) for _, g in itertools.groupby(test, lambda x: x.partition('_')[0])]"
sort the python from the two-dimensional list,"sorted(a, key=foo)"
how to stack two dataframes side by side in pandas?,"pd.concat([GOOG, AAPL], keys=['GOOG', 'AAPL'], axis=1)"
how to delete a character from a string using python?,"newstr = oldstr.replace('M', '')"
python / remove special character from the chain,"re.sub('[^a-zA-Z0-9-_*.]', '', my_string)"
how to create a csr_matrix classification in scipy?,"scipy.sparse.csr_matrix([column['rating'], column['user'], column['movie']])"
replace all non-alphanumerical characters in a string,"re.sub('[^0-9a-zA-Z]+', '*', 'h^&ell`.,|o w]{+orld')"
how can i trace hysteresis in matplotlib?,"ax.plot_trisurf(XS, YS, ZS)"
split list dictionary into list of dictionaries,"map(dict, zip(*[[(k, v) for v in value] for k, value in list(d.items())]))"
how to exclude a character from a regex group?,re.compile('[^a-zA-Z0-9-]+')
replacing a string character in the python,""""""""""""".join(l)"
pandas: how to change all the values of a column?,df['Date'] = df['Date'].apply(lambda x: int(str(x)[-4:]))
convert string to datetime.time object,"datetime.datetime.strptime('03:55', '%H:%M').time()"
how can i create a date in python from milliseconds?,datetime.datetime.fromtimestamp(ms / 1000.0)
how to use raw_input() with the while-loop loop,i = int(input('>> '))
convert binary string to integer list using python,"[s[i:i + 3] for i in range(0, len(s), 3)]"
python + pymongo: how to insert a new field over an existing document in a loop mongo for,"db.Doc.update({'_id': b['_id']}, {'$set': {'geolocCountry': myGeolocCountry}})"
stacksize configuration in a python script,os.system('ulimit -s unlimited; some_executable')
turning the numpy matrix into the structure of the python list?,"np.array([[1, 2, 3], [4, 5, 6]]).tolist()"
how to delete a record in django models?,SomeModel.objects.filter(id=id).delete()
returns a random word from a list of words in python,print(random.choice(words))
how to change the line width of the hatch in matplotlib?,"plt.savefig('pic', dpi=300)"
how to replace nans with previous values in dataframe pandas?,"df.fillna(method='ffill', inplace=True)"
regex chain two misalignments python,"re.findall('(?=([A-Z]SQP|S[A-Z]QP|SS[A-Z]P|SSQ[A-Z]))', s)"
how to sort a list according to another list?,a.sort(key=lambda x_y: b.index(x_y[0]))
how can i order a zipped list in python?,zipped.sort(key=lambda t: t[1])
can i order the text by its numerical value in python?,"sorted(list(mydict.keys()), key=lambda a: map(int, a.split('.')))"
how to find the index of a value in 2d array in python?,np.where(a == 1)
reading the archive in python,f.close()
multiple-condition classification in python,table.sort(key=attrgetter('points'))
how to get all the possible combination of elements from the 2-dimensional list in python?,list(itertools.product(*a))
summarizing through rows of pandas dataframe,"df.groupby(['stock', 'same1', 'same2'])['positions'].sum().reset_index()"
getting a request parameter in jinja2,{{request.args.get('a')}}
cut a list into a list of sub-lists,"[input[i:i + n] for i in range(0, len(input), n)]"
list of all unique characters in a string?,""""""""""""".join(set('aaabcabccd'))"
can a python script execute a function within a bash script?,"subprocess.Popen(['bash', '-c', '. foo.sh; go'])"
convert the list of tuples to several lists in python,"zip(*[(1, 2), (3, 4), (5, 6)])"
dynamically changing the registration level in python without restarting the application,logging.getLogger().setLevel(logging.DEBUG)
how to remove white spaces in python without using a string method?,""""""""""""".join(str(x) for x in range(1, N + 1))"
python date string format,"""""""{0.month}/{0.day}/{0.year}"""""".format(my_date)"
how to round wholes in python,"print(round(1123.456789, -1))"
how to group by multiple spark keys?,"[('id1, pd1', '5.0, 7.5, 8.1'), ('id2, pd2', '6.0')]"
the regular expression of python coincides with the whole word,"re.search('\\bis\\b', your_string)"
classification while preserving order in python,"sorted(enumerate(a), key=lambda x: x[1])"
python string split based on regular expression,"re.findall('\\S+', str1)"
how to find row of matrix 2d in matrix 3d nuppy,"array([[True, True], [False, False], [False, False], [True, True]], dtype=bool)"
how can i create a list of unique random numbers?,"random.sample(list(range(100)), 10)"
getting string between 2 characters in python,"re.findall('\\$(.*?)\\$', '$sin (x)$ is an function of x')"
find the largest delta between two integers in a python list,"max(abs(x - y) for x, y in zip(values[1:], values[:-1]))"
convert a 3d list to a numpy 3d matrix,"A = [[[0, 0, 0], [0, 0, 0], [0, 0, 0]], [[0], [0], [0]]]"
regular expression in python prayer extractor,"re.split('\\.\\s', re.sub('\\.\\s*$', '', text))"
how to draw with x-axis at the top of the figure?,ax.xaxis.set_ticks_position('top')
python load the json file with the header utf-8 bom,json.loads(open('sample.json').read().decode('utf-8-sig'))
how to get multiple parameters with the same name of a url in pylons?,request.params.getall('c')
how to order the sizes of tyres in python,"sorted(nums, key=lambda x: tuple(reversed(list(map(int, x.split('/'))))))"
python convert list to dictionary,"l = ['a', 'b', 'c', 'd', 'e']"
removing even key values from a list of dictionaries,"[dict((k, v) for k, v in d.items() if k != 'mykey1') for d in mylist]"
how to convert a panda/dataframe to xml?,df.to_xml('foo.xml')
how to convert a pandas data frame into a timeseries series?,df.unstack()
selenium pop up window [python],"driver.find_element_by_css_selector(""a[href^='javascript']"").click()"
how to find the real user home directory using python?,os.path.expanduser('~user')
how to get a function name as a string in python?,my_function.__name__
as uniqify a list of dict in python,[dict(y) for y in set(tuple(x.items()) for x in d)]
how can i get html href links using python?,"soup.findAll('a', attrs={'href': re.compile('^http://')})"
split the string and remove the python blank,"[item.strip() for item in my_string.split(',')]"
how to divide a string into integers in python?,"map(int, '42 0'.split())"
sum of all values in a python dict,sum(d.values())
how to use variables in sql statement in python?,"cursor.execute('INSERT INTO table VALUES (%s, %s, %s)', (var1, var2, var3))"
at random decimal in python,decimal.Decimal(random.randrange(10000)) / 100
how can i get rid of python tkinter's root window?,root.destroy()
python get a value list from the dict list,[d['value'] for d in l if 'value' in d]
how to find a value in a list of python dictionaries?,any(d['name'] == 'Test' for d in label)
turn a pandas dataframe into a dictionary,df.set_index('ID').T.to_dict('list')
selenium python click the button,driver.find_element_by_css_selector('.button .c_button .s_button').click()
combine two pandas data frames with the same index,"pandas.concat([df1, df2], axis=1)"
how do i convert the user's entry into a list?,"['p', 'y', 't', 'h', 'o', 'n', ' ', 'r', 'o', 'c', 'k', 's']"
"in python 2.4, how can i run external commands with csh instead of bash?","os.system(""zsh -c 'echo $0'"")"
convert a string to integer with decimal in python,int(s.split('.')[0])
how to convert numpy.recarray to numpy.array?,"a.astype([('x', '<f8'), ('y', '<f8'), ('z', '<f8')]).view('<f8')"
find an item in a list of tuples,"[(x, y) for x, y in a if x == 1]"
how to replace repeated instances of a character with a single instance of that character in python,"re.sub('\\*+', '*', text)"
how to delete the content of the text file in python?,"open('file.txt', 'w').close()"
how can i color python's log-out?,logging.info('some info')
regex score division [python],"re.split('\\W+', 'Words, words, words.')"
sorting dictionary by values in python,"sorted(iter(dict_.items()), key=lambda x: x[1])"
pandas: how can i remove duplicate rows from dataframe and calculate their frequency?,"df1.groupby(['key', 'year']).size().reset_index()"
convert int to ascii and return to python,ord('a')
how can i change the size of the root window in tkinter?,root.geometry('500x500')
how can i translate an iso 8601 datetime string into a python datetime object?,"datetime.datetime.strptime('2007-03-04T21:08:12', '%Y-%m-%dT%H:%M:%S')"
how to find the last appearance of an element in a python list,len(li) - 1 - li[::-1].index('a')
python date string format,my_date.strftime('%-m/%-d/%y')
removing even key values from a list of dictionaries,"[{k: v for k, v in d.items() if k != 'mykey1'} for d in mylist]"
custom ranking in pandas data frame,df.sort('m')
how to remove the blank space from the end of the python chain?,"print('{}, you won!'.format(name))"
conditional replacement of row values in dataframe pandas,df.groupby('ID').cumcount() + 1
how to download a file via ftp with python ftplib,"ftp.retrbinary('RETR %s' % filename, file.write)"
sort the python list based on the length of the chain,xs.sort(key=lambda s: len(s))
how can i check if all the items in a list are the same?,len(set(mylist)) == 1
i want to trace perpendicular vectors in python,plt.show()
convert chain to hexadecimal into python,hex(ord('a'))
change the tone of the image with python pil,new_img.save('tweeter_green.png')
how to launch an error window in python on windows,"ctypes.windll.user32.MessageBoxW(0, 'Error', 'Error', 0)"
how to add a line parallel to the axis and in matplotlib?,plt.show()
html string strip in python,"re.sub('<[^<]+?>', '', text)"
python: import a file from a subdirectory,__init__.py
how to get the length of the words in a sentence?,[len(x) for x in s.split()]
create a list of integers with duplicate values in python,[(i // 2) for i in range(10)]
regular expression that matches anything but a chain,"re.findall('-(?!aa|bb)([^-]+)', string)"
regular expression that matches anything but a chain,"re.findall('-(?!aa-|bb-)([^-]+)', string)"
"in django, how do i select 100 random records from the database?",Content.objects.all().order_by('?')[:100]
python ascii to binary,bin(ord('P'))
replace value in any column in pandas data frame,"df.replace('-', 'NaN')"
python: how to sort a dictionary by key,"sorted(iter(result.items()), key=lambda key_value: key_value[0])"
how can i configure pyramid json encoding?,"json.dumps(json.dumps({'color': 'color', 'message': 'message'}))"
replace a string in the list of lists,"[['string 1', 'atest string:'], ['string 1', 'test 2: anothertest string']]"
how to search for a list of tuples in python,"[i for i, v in enumerate(L) if v[0] == 53]"
image transformation in opencv,"cv2.imwrite('warped.png', warped)"
unscaping characters in a string with python,"""""""\\u003Cp\\u003E"""""".decode('unicode-escape')"
how can i trace hysteresis in matplotlib?,"ax.scartter(XS, YS, ZS)"
adding url to mysql row in python,"cursor.execute('INSERT INTO `index`(url) VALUES(%s)', (url,))"
symlinks in the windows?,"kdll.CreateSymbolicLinkW('D:\\testdirLink', 'D:\\testdir', 1)"
the fastest way to sort each row in pandas data frame,"df.sort(df.columns, axis=1, ascending=False)"
how to apply lymphoress in pandas by group,"linregress(df['col_X'], df['col_Y'])"
how can i convert a python dictionary to a list of tuples?,"[(k, v) for k, v in a.items()]"
"run a python script from another python script, passing in args",os.system('script2.py 1')
sort list of date strings,"sorted(d, key=lambda x: datetime.datetime.strptime(x, '%m-%Y'))"
how can i generate a list of consecutive numbers?,list(range(9))
method to sort a list of lists?,L.sort(key=operator.itemgetter(1))
how can i use matplotlib autopct?,plt.show()
"the pythonic way of looking for all the elements in a dictionary, falling between two keys?","dict((k, v) for k, v in parent_dict.items() if 2 < k < 4)"
python - remove folder path from file path,os.path.dirname(os.path.abspath(existGDBPath))
how do i return a chain of a regex coincidence in python?,"imtag = re.match('<img.*?>', line).group(0)"
how to pass parameters to a construction in sublime text 3?,"{'cmd': ['python', '$file', 'arg1', 'arg2']}"
expatriate parsing en python 3,"parser.ParseFile(open('sample.xml', 'rb'))"
split strings in python,"re.findall('\\[[^\\]]*\\]|""[^""]*""|\\S+', s)"
how to get only the last part of a path in python?,os.path.basename(os.path.normpath('/folderA/folderB/folderC/folderD/'))
how to convert this list into a dictionary,"dict([(e[0], int(e[1])) for e in lst])"
divide non-consumer regular expression in python,"re.split('(?<=[\\.\\?!]) ', text)"
pandas groupby: how to get a rope union,df.groupby('A')['C'].apply(lambda x: x.sum())
how to calculate quantiles in a dataframe multiindex pandas?,"df.groupby(level=[0, 1]).median()"
pandas - fillna with another column,df['Cat1'].fillna(df['Cat2'])
print multiple arguments in python,"print(('Total score for', name, 'is', score))"
how to create a manhattan plot with matplotlib in python?,plt.show()
python - how to extract the last x elements from a list,my_list[-10:]
how can i read the first line of a chain?,"my_string.split('\n', 1)[0]"
remove adjacent duplicate items from the list,"[k for k, g in itertools.groupby([1, 2, 2, 3, 2, 2, 4])]"
python: how can i run a jar file through a python script?,"subprocess.call(['java', '-jar', 'Blender.jar'])"
adding calculated column(s) to a data frame in pandas,"d.apply(lambda row: min([row['A'], row['B']]) - row['C'], axis=1)"
how to use the mv command in python with thread,"subprocess.call('mv /home/somedir/subdir/* somedir/', shell=True)"
python check if all items in a list are of the same type,"all(isinstance(x, int) for x in lst)"
what is the best way to create a string matrix in python?,strs = ['' for x in range(size)]
how to copy files to network path or drive using python,os.system('NET USE P: /DELETE')
how can i analyze a comma bound string in a list (caveat)?,"['foo', 'bar', 'one, two', 'three four']"
how to click on the text button using selenium python,browser.find_element_by_class_name('section-select-all').click()
numpy list understanding syntax,"[[X[i, j] for i in range(X.shape[0])] for j in range(x.shape[1])]"
how to change folder names in python?,"os.rename('Joe Blow', 'Blow, Joe')"
how can i check if a check box is checked in selenium python webdriver?,driver.find_element_by_id('<check_box_id>').is_selected()
dumping subprocess output in the file in appendix mode,fh1.seek(2)
how can i extract all the values from a specific key from a list of dictionaries?,results = [item['value'] for item in test_data]
how to select the item with selenium python xpath,"driver.find_element_by_xpath(""//div[@id='a']//a[@class='click']"")"
"regex to pair 'lol' with 'loll' and 'omg' with 'omggg', etc.","re.sub('l+', 'l', 'lollll')"
how to handle an http get request to a file in tornado?,"('/static/(.*)', web.StaticFileHandler, {'path': '/var/www'}),"
pandas : delete rows based on other rows,"pd.merge(df.reset_index(), df, on='sseqid')"
extract article from the list of dictionaries,[d for d in a if d['name'] == 'pluto']
self-organization hexagonal map in python,"(i + 1, j), (i - 1, j), (i, j - 1), (i, j + 1), (i + 1, j - 1), (i + 1, j + 1)"
how can i remove dictations from a list with duplicate fields in python?,"list(dict((x['id'], x) for x in L).values())"
python string format,"print('[{0}, {1}, {2}]'.format(1, 2, 3))"
numpy list understanding syntax,"[[X[i, j] for j in range(X.shape[1])] for i in range(x.shape[0])]"
add string in a certain position in python,s[:4] + '-' + s[4:]
remove duplicate characters from string,""""""""""""".join(set(foo))"
pandas groupby: how to get a rope union,df.groupby('A').apply(lambda x: x.sum())
how to write a confusion matrix in python?,"array([[3, 0, 0], [0, 1, 2], [2, 1, 3]])"
how to get everything after the last bar in a url?,"url.rsplit('/', 1)[-1]"
how to clean the screen in python,os.system('clear')
convert a list of integers in range into python,"[(0, 4), (7, 9), (11, 11)]"
python convert decimal to hexadecimal,hex(dec).split('x')[1]
"python server ""only one use of each socket address is allowed""","s.setsockopt(SOL_SOCKET, SO_REUSEADDR, 1)"
find all occurrences of a substring in python,"[m.start() for m in re.finditer('test', 'test test test test')]"
plot of logarithmic axes with matplotlib in python,ax.set_yscale('log')
list of classification based on values from another list?,"[x for y, x in sorted(zip(Y, X))]"
how to modify a variable within a lambda function?,"myFunc(lambda a, b: iadd(a, b))"
python regular expression that matches a multiline text block,"re.compile('^(.+)(?:\\n|\\r\\n?)((?:(?:\\n|\\r\\n?).+)+)', re.MULTILINE)"
dictionary type of dictionaries by value,"sorted(list(statuses.items()), key=lambda x: getitem(x[1], 'position'))"
axle and reverse in pyplot,plt.gca().invert_yaxis()
pivot table sales pandas,"df.groupby(['saleid', 'upc']).size().unstack(fill_value=0)"
how to convert a boolean matrix into an index matrix in nuppy,numpy.where(mask)
pandas groupby: how to get a rope union,"df.groupby('A')['C'].apply(lambda x: '{%s}' % ', '.join(x))"
"how can i iterate on a python dictionary, ordered by values?","sorted(list(dictionary.items()), key=lambda x: x[1])"
google app engine - request class query_string,self.request.get('var_name')
what is the python way to combine two sequences in a dictionary?,"dict(zip(keys, values))"
numpy: how to check if the matrix contains certain numbers?,numpy.array([(x in a) for x in b])
"python, subprocess: subprocess reading output",p.stdin.flush()
how can i list the contents of a directory in python?,glob.glob('/home/username/www/*')
how can i write a list of lists in a txt file?,"[[0, 1, 2, 3, 4], ['A', 'B', 'C', 'D', 'E'], [0, 1, 2, 3, 4]]"
python string split based on regular expression,"re.split('\\s+', str1)"
python beautifulsoup extract specific urls,"soup.find_all('a', href=re.compile('^(?!(?:[a-zA-Z][a-zA-Z0-9+.-]*:|//))'))"
how to create a ternary contour plot in python?,plt.axis('off')
map of two lists in a dictionary in python,"dict([(k, v) for k, v in zip(keys, values)])"
typeerror: string or buffer expected in the google app engine python,self.response.out.write(str(parsed_data['translatedText']))
how can i self-direct the text in matplotlib python?,plt.show()
list of all unique characters in a string?,list(set('aaabcabccd'))
multiplication of 1d arrays in nuppy,"np.outer(a, b)"
python: get rid of \u200b of a string using regular expressions,"'used\u200b'.replace('\u200b', '*')"
how to find row of matrix 2d in matrix 3d nuppy,"np.argwhere(np.all(arr == [[0, 3], [3, 0]], axis=(1, 2)))"
the best way to get the nth element of each tuple from a list of tuples in python,[x[0] for x in G]
the flask traceback application does not appear in the server registry,app.run(debug=True)
how to apply standardization to svms in scikit-learn?,X_train = scaler.fit(X_train).transform(X_train)
how to extract the floating number from the chain,"re.findall('[-+]?\\d*\\.\\d+|\\d+', 'Current Level: -13.2 db or 14.2 or 3')"
"in python 2.5, how do i kill a thread?","os.kill(process.pid, signal.SIGKILL)"
how to make this group by consultation in django orm with annotation and addition,Article.objects.values('pub_date').annotate(article_count=Count('title'))
divide unicode string into words,'\u0440\u0430\u0437 \u0434\u0432\u0430 \u0442\u0440\u0438'.split()
map of two lists in a dictionary in python,"dict((k, v) for k, v in zip(keys, values))"
how to use regex with optional characters in python?,"print(re.match('(\\d+(\\.\\d+)?)', '3434').group(1))"
what is the use to add a comma after a self argument in a class method?,"{'top': ['foo', 'bar', 'baz'], 'bottom': ['qux']}"
how to add a specific number of characters at the end of the string in pandas?,"s = pd.Series(['A', 'B', 'A1R', 'B2', 'AABB4'])"
remove duplicates from the list of sets,[set(item) for item in set(frozenset(item) for item in L)]
pandas group by value range,"df.groupby(pd.cut(df['B'], np.arange(0, 1.0 + 0.155, 0.155))).sum()"
matrix indexing in nuppy,"x[(np.arange(x.shape[0]) != 1), :, :]"
how to search for a word and then replace the text after it using regular expressions in python?,"re.sub('(<form.*?action="")([^""]+)', '\\1newlogin.php', content)"
how to generate all permutations from a list in python,"itertools.permutations([1, 2, 3])"
how to replace unicode characters in string with something more python?,"str.decode('utf-8').replace('\u2022', '*')"
how do i urlencode a consultation chain in python?,urllib.parse.quote_plus('string_of_characters_like_these:$#@=?%^Q^$')
how to darken the line behind the surface plot in matplotlib?,plt.show()
how can i check if a check box is checked in selenium python webdriver?,driver.find_element_by_name('<check_box_name>').is_selected()
convert utf-8 to bom to utf-8 without bom to python,s = u.encode('utf-8')
create dictionary from the list of variables,"dict((k, globals()[k]) for k in ('foo', 'bar'))"
self-organization hexagonal map in python,"(i + 1, j), (i - 1, j), (i, j - 1), (i, j + 1), (i - 1, j - 1), (i + 1, j - 1)"
what is the most pitonic way to normalize the end of line on a rope?,"mixed.replace('\r\n', '\n').replace('\r', '\n')"
"how to make a python script that can logoff, off, and restart a computer?","subprocess.call(['shutdown', '/r'])"
"how to make a python script that can logoff, off, and restart a computer?","subprocess.call(['shutdown', '/l '])"
efficient reduction of the characteristic in the pandas data frame,df['Features'] = df['Features'].apply(frozenset)
checking values in a dictionary based on the key,"[(i, sum(j) / len(j)) for i, j in list(d.items())]"
how to divide a string into integers in python?,' \r  42\n\r \t\n   \r0\n\r\n'.split()
python - convert a string of numbers into a list of int,"[int(s) for s in example_string.split(',')]"
get the count of the values associated with the key in dict python,sum(d['success'] for d in s)
transformation of the representation of the dictionary chain into a real dictionary,"dict(map(int, x.split(':')) for x in s.split(','))"
pandas: how to do multiple groupby-apply operations,"df.groupby(level=0).agg(['sum', 'count', 'std'])"
tracing the pandas data frame,df.plot(title='Title Here')
generate the list of numbers in specific format,[('%.2d' % i) for i in range(16)]
nuppy matrix classification in multiple columns in python,"df.sort(['year', 'month', 'day'])"
how to resize the legend with matplotlib.pyplot,"plot.legend(loc=2, prop={'size': 6})"
python string format,"""""""[{0}, {1}, {2}]"""""".format(1, 2, 3)"
how to get the day of the week in a 3 letter format of a datetime object in python?,datetime.datetime.now().strftime('%a')
how can i control the keyboard and mouse with python?,"dogtail.rawinput.click(100, 100)"
how can i join two data frames based on values in selected columns?,"pd.merge(a, b, on=['A', 'B'], how='outer')"
how to replace unicode characters in string with something more python?,"str.decode('utf-8').replace('\u2022', '*').encode('utf-8')"
classification of dictionary keys according to their values,"sorted(d, key=lambda k: d[k][1])"
how to select only specific columns of a dataframe with multiindex columns?,"data.loc[:, ([('one', 'a'), ('one', 'c'), ('two', 'a'), ('two', 'c')])]"
how to replace repeated instances of a character with a single instance of that character in python,"re.sub('\\*\\*+', '*', text)"
combination of rows in pandas,df.reset_index().groupby('city_id').sum()
find an item in a list of tuples,[item for item in a if 1 in item]
python: how to generate a random 12 digit number?,"'%0.12d' % random.randint(0, 999999999999)"
django - filter query by charfield value length,MyModel.objects.filter(text__regex='^.{254}.*')
change current working directory in python,os.chdir('.\\chapter3')
change current working directory in python,os.chdir('C:\\Users\\username\\Desktop\\headfirstpython\\chapter3')
count the number of rows in a relationship of many to many (sqlalchemy),session.query(Entry).join(Entry.tags).filter(Tag.id == 1).count()
log in to a site using python and open the login site in the browser,webbrowser.open('http://somesite.com/adminpanel/index.php')
python: the simplest way to get the list of values of a dict?,list(d.values())
how can i print a celsius symbol with matplotlib?,ax.set_xlabel('Temperature ($^\\circ$C)')
finding consecutive segments in a pandas data frame,"df.reset_index().groupby(['A', 'block'])['index'].apply(np.array)"
access to the value in the tuple that is in the list,[x[1] for x in L]
regular expression to remove line breaks,"re.sub('(?<=[a-z])\\r?\\n', ' ', textblock)"
normalize a pandas data frame per row,"df.div(df.sum(axis=1), axis=0)"
summing elements in a list,sum(your_list)
lack of randomness in numpy.random,"x, y = np.random.randint(20, size=(2, 100)) + np.random.rand(2, 100)"
python: how do i convert an array of strings to an array of numbers?,"map(int, ['1', '-1', '1'])"
summing 2nd list items in a list of lists,[sum([x[1] for x in i]) for i in data]
python: get the index key in the dictionary,"[k for k, v in i.items() if v == 0]"
split list dictionary into list of dictionaries,"[{'key1': a, 'key2': b} for a, b in zip(d['key1'], d['key2'])]"
"pandas read_csv expects an incorrect number of columns, with csv ragged file",pd.read_csv('D:/Temp/tt.csv')
how to keep a list of lists sorted as it is created,dataList.sort(key=lambda x: x[1])
extract only characters from a python string,"re.split('[^a-zA-Z]*', 'your string')"
matplotlib.animation: how to remove the white margin,"fig.subplots_adjust(left=0, bottom=0, right=1, top=1, wspace=None, hspace=None)"
pandas dataframe to list,df['a'].tolist()
"python, print all floats at 2 decimals on output","print('%.2f kg = %.2f lb = %.2f gal = %.2f l' % (var1, var2, var3, var4))"
how to produce an exponentially scaled axis?,plt.show()
how to sort a list of lists for the first value,"sorted([[1, 'mike'], [1, 'bob']])"
how to introduce an entire user tuple?,"tuple(int(x.strip()) for x in input().split(','))"
remove duplicate characters using regex?,"re.sub('a*', 'a', 'aaabbbccc')"
sort the dictionary by a split key,"sorted(list(d.items()), key=lambda v: int(v[0].split('-')[0]))"
what is the shortest way to count the number of items in a generator/iter?,sum(1 for i in it)
how can i convert a string into a python list?,list('hello')
how can i add the product to two items in the list using for python loop?,"sum(x * y for x, y in list(zip(a, b)))"
printing of numbers in python,print('%.3f' % 3.1415)
list list submatrix (no nuppy),"[[2, 3, 4], [2, 3, 4], [2, 3, 4]]"
python date string to date object,"datetime.datetime.strptime('24052010', '%d%m%Y').date()"
how can i call a python script from a python script,"p = subprocess.Popen(cmd, stdout=sys.stdout, stderr=sys.stderr)"
how to set utc compensation for the time of the date?,dateutil.parser.parse('2013/09/11 00:17 +0900')
"python: string dictionary, custom format?","""""""<br/>"""""".join([('%s:: %s' % (key, value)) for key, value in list(d.items())])"
adding a new column in the data frame after calculation on time,"df['period'] = df.apply(period, axis=1)"
how to obtain a list of variables in the specific python module?,print([item for item in dir(adfix) if not item.startswith('__')])
how can i scroll a website using the selenium network engine in python?,"driver.execute_script('window.scrollTo(0, Y)')"
python screenshot on mac os x,os.system('screencapture screen.png')
