intent,snippet
"palindromic numbers in two bases, project euler #36","sum(1 for i in range(1000000) if str(i) == str(i)[::-1])
sum(1 for i in range(1000000) if format(i, 'b') == format(i, 'b')[::-1])"
storing huge hash table in a file in python,d.close()
how to add permissions in django to models and test it using the shell,emp = Employer.objects.create(blablabla)
how to use docker-py (official docker client) to start a bash shell?,"container = client.create_container(image='busybox:latest', stdin_open=True,
    tty=True, command='/bin/sh')
client.start(container)"
how to detect if the console does support ansi escape codes in python?,return False
twisted network client with multiprocessing workers?,"class MultiprocessingService(Service):

    def startService(self):
        self.pool = multiprocessing.Pool(processes=processes)
MultiprocessingService().setServiceParent(application)"
"regex, how to remove all non-alphanumeric except colon in a 12/24 hour timestamp?","for item in s.split():
    pass"
ruby version of to string method,"[1, 23, 4].inspect
p[1, 23, 4]"
python-getting data from an asp.net ajax application,"year.get(label='2005').selected = True
src = b.submit().read()
print(src)"
python pandas replacing strings in dataframe with numbers,"mapping = {'set': 1, 'test': 2}
df.replace({'set': mapping, 'tesst': mapping})"
"get u, sigma, v* matrix from truncated svd in scikit-learn","U = SVD.fit_transform(X)
Sigma = SVD.explained_variance_ratio_
VT = SVD.components_"
delete the last input row in python,"a = input('What a: ')
a = a.strip()"
python 3.4.4 how to verify if a string is only made of 0 and 1,bit = len(binary)
how to temporary hide stdout or stderr while running a unittest in python,sys.stdout = _stdout
printing to stdout in ipython parallel processes,print(x)
python manager dict in multiprocessing,"from multiprocessing import Process, Manager"
matplotlib: save figure as file from ipython notebook,"fig = plt.figure()
ax = fig.add_axes([1, 1, 1, 1])
plt.plot([1, 2])
savefig('test.png', bbox_inches='tight')"
how to profile exception handling in python?,"with profiler():
    pass"
"simple / smart, pythonic database solution, can use python types + syntax? (key / value dict, array, maybe ordered dict)",from django.db import models
remove more than one key from python dict,x
what is the simplest way to swap char in a string with python?,""""""""""""".join(t)"
"why does python let me define a variable in one scope, but use it in another?",x = 5
how to find and replace nth occurence of word in a sentence using python regular expression?,"re.sub('^((.*?cat.*?){1})cat', '\\1Bull', s)"
controlling python ply lexer states from parser,lexer.level += 1
typecasting pyarrayobject data to a c array,"ndX = PyArray_NDIM(X)
shapeX = PyArray_SHAPE(X)
dtype = PyArray_DescrFromType(NPY_DOUBLE)
iter = NpyIter_New(X, NPY_ITER_READONLY, NPY_KEEPORDER, NPY_NO_CASTING, dtype)"
distribution of number of digits of random numbers,7.411070483631654e-06
counting a group of extensions (images) in a directory in python,"sum([True, False, False, True, False])"
global scope inside if/else for a running median,return (heapq.heappop(leftHeap) + curMedian) / 2
using cumsum in pandas on group(),"data1.groupby(['Bool', 'Dir', 'Date']).sum().groupby(level=[0, 1]).cumsum()"
how to change separation between tick labels and axis labels in matplotlib,"fig = plt.figure(figsize=(paperwidth - 2 * margin, paperheight - 2 * margin))
fig.tight_layout()"
"pyqt4,how to add a batch of widget (qpushbutton) at one time and lets them to execute on slot","class MyPushButton(QPushButton):

    def __init__(self, text='', parent=None):
        QPushButton.__init__(self, text, parent)
self.clicked.connect(self._handle_click)
my_click = QtCore.pyqtSignal(QObject)

def _handle_click(self):
    my_click.emit(self)

def btnclick(btn):
    pass"
regular expression matching first non-repeated character,"python
import regex
regex.search('(?<letter>.)(?!.*?\\g<letter>)(?<!\\g<letter>.+?)', 'tooth')"
numpy how to replace a single element in array1 with whole array2,"array2 = [[1, 2], [3, 4]]
for i in range(len(array1)):
    for j in range(len(array1[0])):
        array1[i][j] = array2
print(array1)"
store python requests session in persistent storage,"pickled = pickle.dumps(session)
restored = pickle.loads(pickled)"
how to plot bar graphs with same x coordinates side by side,"ax.legend((rects1[0], rects2[0]), ('Men', 'Women'))"
pandas pivot table of sales,"from io import StringIO
import pandas as pd
text = """"""    saleid                              upc
0   155_02127453_20090616_135212_0021   02317639000000
1   155_02127453_20090616_135212_0021   00000000000888
2   155_01605733_20090616_135221_0016   00264850000000
3   155_01072401_20090616_135224_0010   02316877000000
4   155_01072401_20090616_135224_0010   05051969277205""""""
df = pd.read_csv(StringIO(text), delim_whitespace=True, dtype=str)"
pandas convert strings to float for multiple columns in dataframe,"df = DataFrame('10.0%', index=list(range(100)), columns=list(range(10)))"
using an ordered dict as object dictionary in python,"def __getattr__(self, value):
    return self.__dict__['_odict'][value]"
https for localhost:8080,accept = 8001
access pixel values within a contour boundary using opencv in python,"for i in range(len(contours)):
    pass"
shorter version of this numpy array indexing,"X = np.random.randint(0, 99, (6, 5))
m, n = X.shape"
how to chain django querysets preserving individual order,"class ImportMinAttend(models.Model):
    country = models.CharField(max_length=2, blank=False, null=False)"
dynamic loading of uncompiled python plugins in py2exe compile code,"plugin = imp.load_module('plugin', f, filename, desc)
modules = []"
nltk convert tokenized sentence to synset format,from nltk.corpus import wordnet as wn
django return redirect() with parameters,"def element_info(request):
    element = Element.object.get(pk=1)
return redirect('element_update', pk=element.id)"
python: deleting a class attribute in a subclass,"class B(A):
    pass"
delete all objects in a list,del c[:]
an iterative algorithm for fibonacci numbers,return y
cross-platform way to get pids by process name in python,"WMI = GetObject('winmgmts:')
processes = WMI.InstancesOf('Win32_Process')
process_list = [(p.Properties_('ProcessID').Value, p.Properties_('Name').
    Value) for p in processes]"
loading and parsing a json file with multiple json objects in python,"import json
data = []
with open('file') as f:
    pass"
python: opening a folder in explorer/nautilus/mac-thingie,import os
foreign key relationship with peewee and python,name = value['name']
django create custom usercreationform,return user
defining a python class with lots of attributes - style,b = []
python: determine length of sequence of equal items in list,"return i
l = [0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 2, 2, 2]
answer = []
for key, iter in itertools.groupby(l):
    answer.append((key, length(iter)))"
assign multiple shaders to imported .obj files in maya,"mat.hyperShade(assign=myArray[int(random.uniform(0, 3))])"
creating a diff array using lambda functions in python,"diff = [(a[i] - a[i + 1]) for i in range(len(a) - 1)]
diff"
python - start firefox with selenium in private mode,"from selenium import webdriver
firefox_profile = webdriver.FirefoxProfile()"
how can i convert string to dict or list?,"result = ast.literal_eval(""{'a': 1, 'b': 2}"")
assert type(result) is dict"
how can i sort a list of python classes by inheritance depth?,"class B(A, X):
    pass


class C(B):
    pass


class D(C):
    pass
sorted([B, C, A, D, X], key=lambda cls: len(cls.mro()))"
get smallest n values from numpy array ignoring inf and nan,a[4] = -np.inf
ipython notebook: how to combine html output and matplotlib figures?,"Gcf.destroy_fig(fig)
HTML(""Foo Bar <br> <img src='%s'> <br> Baz"" % image_data)"
python strange behavior with enumerate,"x = [1, 2, 3, 4, 5]
y = x"
how to make a combined set of fields unique in mongodb in python,timestamp = DateTimeField(default=datetime.now)
strip white spaces from file csv,"with open(self.filename, 'r') as f:
    reader = csv.reader(f, skipinitialspace=False, delimiter=',', quoting=
        csv.QUOTE_NONE)"
python string replace in a file without touching the file if no substitution was made,thefile.flush()
using gridsearchcv with adaboost and decisiontreeclassifier,"ABC = AdaBoostClassifier(base_estimator=DTC)
grid_search_ABC = GridSearchCV(ABC, param_grid=param_grid, scoring='roc_auc')"
how to reliably open a file in the same directory as a python script,paths()
python: unintentionally modifying parameters passed into a function,"def modi_list(alist):
    pass"
optimize django model save method for accessing to uploaded file path,"class MyModel(models.Model):
    myimg = models.ImageField(upload_to=img_file_path)

def save(self, *args, **kwargs):
    path_of_file = self.myimg.name
self.myimg.name = path_of_file.upper()
super(MyModel, self).save()"
how do i draw text at an angle using python's pil?,draw = ImageDraw.Draw(im)
how to mock users and requests in django,"class MockUser(object):

    def __call__(self, *args, **kwargs):
        return self

def __getattr__(Self, name):
    return self"
python bluetooth how to send a file to a phone,addr = sys.argv[1]
iterator selector in python,yield work_list[0][1]
nltk tagging spanish words using a corpus,cess_sents = cess.tagged_sents()
draw arrow outside plot in matplotlib,fg = plt.figure(1)
sorting all the sub dictionary using values of one of the sub dictionary,d = to_sort[0][1]
__sizeof__ str is larger than __sizeof__ a tuple containing that string,res = 0
tensorflow rnn with varying length sentences,seq_length = tf.placeholder(tf.int32)
problems implementing an xor gate with neural nets in tensorflow,"xTrain = np.array([[0, 0], [0, 1], [1, 0], [1, 1]])
yTrain = np.array([[1], [0], [0], [0]])"
how to implement curl -u in python?,"passmanager.add_password(None, baseurl, username, password)"
"regex with quotes, equal sign and dot for attribute/value pair",Feedback.color = green
perl: counting many words in many strings efficiently,from collections import Counter
what is a 'good practice' way to write a python gtk+ application?,gtk.Window.__init__(self)
remove list from list in python,"b = ['pineapple', 'apple', 'tomato']
new_list = []
for v in a:
    if v not in b:
        new_list.append(v)
print(new_list)"
how to stub python methods without mock,"def getDataLength(self):
    pass"
print letters in specific pattern in python,return st[ind:] * int(st[:ind])
twisted: how to silence certain log messages?,reactor.run()
patch over missing rows in csv file in python,"data.append(','.join(row))"
inner join with multiindex fails if no overlap,"import pandas as pd
d1 = pd.DataFrame({'i1': [1, 2, 2], 'i2': [1, 1, 2], 'a': [10, 20, 30]}
    ).set_index(['i1', 'i2'])
d2 = pd.DataFrame({'i1': [3, 3], 'i2': [1, 2], 'b': [40, 50]}).set_index([
    'i1', 'i2'])
try:
    d1.join(d2, how='inner')
except Exception as err:
    print(err)"
6th degree curve fitting with numpy/scipy,"plt.plot(x, yfit, label='fitted data')
plt.show()"
split string on commas but ignore commas within double-quotes?,"from csv import reader
infile = ['A,B,C,""D12121"",E,F,G,H,""I9,I8"",J,K']
for line in reader(infile):
    pass"
nonlinear colormap with matplotlib,self.monochrome = self.cmap.monochrome
using a java library from python,"gateway = JavaGateway()
java_object = gateway.jvm.mypackage.MyClass()
other_object = java_object.doThat()
other_object.doThis(1, 'abc')
gateway.jvm.java.lang.System.out.println('Hello World!')"
xml (.xsd) feed validation against a schema,"def validate(xmlparser, xmlfilename):
    pass"
"remove ""add another"" in django admin screen",author = form.base_fields['author']
"preventing django from appending ""_id"" to a foreign key field",b.a.save()
toggle a value in python,"A = [1, 2, 3]
B = [4, 5, 6]"
zipping dynamic files in app engine (python),"self.response.headers['Content-Type'] = 'multipart/x-zip'
self.response.headers['Content-Disposition'] = 'attachment; filename=test.zip'
self.response.out.write(output.getvalue())"
ssh module for python,"ssh = paramiko.SSHClient()
ssh.connect(remote, username=username, password=password)"
django: how to save original filename in filefield?,"filename = models.CharField(max_length=128)

def save(self, force_insert=False, force_update=False):
    super(FooModel, self).save(force_insert, force_update)"
print a variable selected by a random number,"for item in tmp:
    pass"
google data api authentication,session = True
pyramid: extend query string for every url constructed by route_url,"def add_route_with_query(*args, **kwargs):
    kwargs['pregenerator'] = add_query_pregen
config.add_route(*args, **kwargs)
add_route_with_query('login', '/login')
add_route_with_query('logout', '/logout')"
preventing exceptions from terminating python iterator,"yield 3
try:
    raise Exception('blarg!')
except Exception:
    pass"
how can i convert a string to an int in python?,"a = '123'
int(a)"
inverted glyph: bitmap > svg via autotrace > glyph via fontforge,"glyph = font.createMappedChar('A')
glyph.importOutlines('sourceimg.svg')
font.generate('testfont.ttf')"
how to pass more than one parameter to map function in panda,"def getTag(rangeAttribute, sliceDef):
    for sl in list(sliceDef.keys()):
        bounds = sliceDef[sl]
if float(rangeAttribute) >= float(bounds[0]) and float(rangeAttribute
    ) <= float(bounds[1]):
    return sl
sliceDef = {'tag1': [1, 4], 'tag2': [4, 6], 'tag3': [6, 9], 'tag4': [9, 99]}
sliceDef1 = {'100-150': [100000, 150000], '150-650': [150000, 650000],
    '650-5M': [650000, 5000000]}
mn = pd.DataFrame({'fld1': [2.23, 4.45, 7.87, 9.02, 8.85, 3.32, 5.55],
    'fld2': [125000, 350000, 700000, 800000, 200000, 600000, 500000],
    'lType': ['typ1', 'typ2', 'typ3', 'typ1', 'typ3', 'typ1', 'typ2'],
    'counter': [100, 200, 300, 400, 500, 600, 700]})"
check python string format?,"s = 'x/x/xxxx xx:xx'
if len(s) == 14:
    if r.match(s):
        pass"
"how do i sort a list with ""nones last""","class Infinity:

    def __eq__(self, other):
        return type(other) == Infinity

def __lt__(self, other):
    pass"
csrf exempt failure - apiview csrf django rest framework,"class UnsafeLogin(APIView):
    permission_classes = AllowAny,
authentication_classes = UnsafeSessionAuthentication,

def post(self, request, *args, **kwargs):
    username = request.DATA.get('u')
password = request.DATA.get('p')
user = authenticate(username=username, password=password)
if user is not None:
    login(request, user)
return redirect('/')"
fetching tweets with hashtag from twitter using python,"search = t.search(q='#omg', count=100)"
line profiling inner function with cython,"prof.runcall(f, 5)"
bash alias to automatically detect arbitrarily named file sequences?,1 - test8.txt
has anyone used sphinx to document a c++ project?,Requirements
python: send a list/dict over network,"import json
a = (1, 2), (11, 22), (111, 222)
print(a)
message = json.dumps(a)
message
b = json.loads(message)
b"
an efficient way to calculate the mean of each column or row of non-zero elements,"a = np.array([[8.0, 9, 7, 0], [0, 0, 5, 6]])"
check requirements for python 3 support,mysql - python
implementing pointwise arithmetic with implicit type conversion,"def __truediv__(self, other):
    if callable(other):
        return Function(lambda x: self(x) / other(x))"
how can i find all subclasses of a class given its name?,"def get_all_subclasses(cls):
    all_subclasses = []
for subclass in cls.__subclasses__():
    all_subclasses.append(subclass)
all_subclasses.extend(get_all_subclasses(subclass))
return all_subclasses"
how do i compare dates from twitter data stored in mongodb via pymongo?,"connection = pymongo.Connection('mymongohostname.com')
connection.my_database.my_collection.insert({'created_at': dt}, safe=True)"
fastest way to fill numpy array with distances from a point,"x, y, z = (x * scale_x + offset_x, y * scale_y + offset_y, z * scale_z +
    offset_z)"
nargout in python,"def f(a, nargout=1):
    if nargout == 1:
        pass"
how do i create documentation with pydoc?,"def __init__(self, name, age):
    pass"
blocks of code in python,return x + y
how to get data recieved in flask request,"search = request.args.get('search')
page = request.args.get('page')"
simulating a neuron spike train in python,from scipy.integrate import odeint
how do i calculate the numeric value of a string with unicode components in python?,cval = int(c)
how i do convert from timestamp to date in python?,"import date_converter
converted_date = date_converter.string_to_string('2015-04-08T07:52:00Z',
    '%Y-%m-%dT%H:%M:%SZ', '%d/%m/%Y')"
use nltk without installing,chunk
how to find degenerate rows/columns in a covariance matrix,B = independent_columns(A)
multi-index sorting in pandas,g
using django settings in templates,from django.conf import settings
how to break time.sleep() in a python concurrent.futures,"T = f.ThreadPoolExecutor(1)

def block5():
    time.sleep(5)
return 1
q = T.submit(block5)
m = T.submit(block5)
print(q.cancel())
print(m.cancel())"
matplotlib color gradient in patches?,"fis = np.concatenate((np.linspace(-np.pi, np.pi, 100), [np.nan]))
cmap = plt.cm.gray"
"cython - use of ""from"" keyword in for loop",pass
check if string matches pattern,print('not matched')
python: print only the message on warnings,import warnings
how to set class names dynamically?,"type('NewA', (object,), {})"
matplotlib - 3d surface from a rectangular array of heights,"fig.colorbar(surf, shrink=0.5, aspect=5)"
storing python dictionaries,"pickle.dump(data, fp)"
how to map a django model field to some user defined value,"class Resource(ModelResource):
    angular_t = fields.CharField(attributes='angular_t', null=True)"
mixed types of elements in dataframe's column,"map(type, df2[1])"
creating a mock web service from a wsdl file in python,from mock import patch
"python logging (function name, file name, line number) using a single file",import logging
"many-to-many, self-referential, non-symmetrical relationship (twitter model) via association object in sqlalchemy",sess.commit()
interpolation of sparse grid using python (preferably scipy),"x, y = index[0], index[1]"
how to extract top-level domain name (tld) from url,"def get_domain(url, tlds):
    url_elements = urlparse(url)[1].split('.')
for i in range(-len(url_elements), 0):
    last_i_elements = url_elements[i:]
candidate = '.'.join(last_i_elements)
wildcard_candidate = '.'.join(['*'] + last_i_elements[1:])
exception_candidate = '!' + candidate
if exception_candidate in tlds:
    return '.'.join(url_elements[i:])
if candidate in tlds or wildcard_candidate in tlds:
    return '.'.join(url_elements[i - 1:])
raise ValueError('Domain not in global list of TLDs')
print(get_domain('http://abcde.co.uk', tlds))"
"in python, how do i split a string and keep the separators?","test_strings = ['<Hello>', 'Hi', '<Hi> <Planet>', '<', '']

def split_and_keep(s, sep):
    if not s:
        return ['']
p = chr(ord(max(s)) + 1)
return s.replace(sep, sep + p).split(p)
for s in test_strings:
    print(split_and_keep(s, '<'))
unicode_max_char = chr(1114111)
ridiculous_string = '<Hello>' + unicode_max_char + '<World>'
print(split_and_keep(ridiculous_string, '<'))"
efficiently solving a letter/number problem in python,print(int('8' + str(x)) == 8 * int(str(x) + '8'))
"best way to change the value of ""settings"" from within a python test case?","""""""[{""pk"": 1, ""model"": ""test_app.userprofile"", ""fields"": {""url"": ""http://www.google.com"", ""user"": 1, ""description"": ""Old description""}}]"""""""
using list as a data type in a column (sqlalchemy),session.add(feed)
how to detect with python if the string contains html code?,parser.feed(text)
calling types via their name as a string in python,"getattr(__builtin__, 'int')"
bokeh: implementing custom javascript in an image plot,bokeh.io.save(layout)
"how do i remove lines from a big file in python, within limited environment",file.write(line + '\n')
easiest way to rm -rf in python,shutil.rmtree(path)
how to solve several independent time series at the same time using scikit linear regression model,"X_mean = np.average(X, axis=1)"
python(or numpy) equivalent of match in r,"match
match(a, b)"
creating a list of dictionaries in python,"for col in range(1, len(ll[0])):
    pass"
plotting 2d kernel density estimation with python,"ax.set_xlabel('Y1')
ax.set_ylabel('Y0')"
how to extract dependencies information from a setup.py,__import__(module_name)
pandas dataframe stored list as string: how to convert back to list?,"df['a'][0], type(df['a'][0])"
validating the value of several variables,"inputs = [1, 1, 0, 2]"
how to serialize sympy lambdified function?,"a, b = sym.symbols('a, b')"
how to start ipython notebook server at boot as daemon,"[Install]
WantedBy = multi - user.target"
unable to remove objects from a list in another object,"d.cards.append(Card(1, 1))"
create multiple columns in pandas dataframe from one function,"data = df.loc[(mask), :]"
how to make wx.textentrydialog larger and resizable,self.input.SetValue(value)
python integer partitioning with given k partitions,"if k == 1:
    if n >= l:
        yield n,
raise StopIteration
for i in range(l, n + 1):
    for result in partitionfunc(n - i, k - 1, i):
        yield (i,) + result"
making a histogram of string values in python,"data = ['32', '22', '12', '32', '22', '12', '31', '21', '11']
sm = {i: (0) for i in ['32', '22', '12', '31', '21', '11']}
for i in data:
    pass"
dot product with dictionaries,"for key in dict_1:
    pass"
how do i extend python with c?,"libadd = ctypes.cdll.LoadLibrary('libadd.so')
libadd.Add.argtypes = [ctypes.c_int, ctypes.c_int]
libadd.Add.restype = ctypes.c_int
print(libadd.Add(42, 1))"
converting from local to utc timezone,"utc_time, offset = convert_to_utc(time, 'America/Chicago')"
syntaxerror when trying to use backslash for windows file path,os.path.isfile('C:\\Users\\xxx\\Desktop\\xxx')
find the subset of a set of integers that has the maximum product,"def max_product(A):
    pass"
python logging to multiple files,logger1.addHandler(logging.FileHandler('/tmp/logger1'))
building a covariance matrix in python,x = np.random.random(num)
"in python using flask, how can i write out an object for download?","from flask import Response

@app.route('/get-file')
def get_file():
    results = generate_file_data()"
wagtail: display a list of child pages inside a parent page,{{page.title}}
using pipes to capture things printed to stderr into python variable from jupyter,os.system('cat 1mbfile.txt')
how do i compare rpm versions in python,import sys
using different versions of python with virtualenvwrapper,source / path / to / bin / virtualenvwrapper.sh
python : operator overloading a specific type,a = Mynum(1)
case insensitive python string split() method,"import re
regex = re.compile('\\s*feat\\.\\s*', flags=re.I)
regex.split('abc feat. def')"
terminating qthread gracefully on qdialog reject(),self.layout.addWidget(self.btn_cancel)
how to get client ip address using python bottle framework,"def hello():
    pass"
(pseudo) random number generation in python without using modules and clock,rng = random.WichmannHill(8675309)
eliminating all data over a given percentile,cols = list('abc')
pyside show / hide layouts,QWidget.__init__(self)
"how do i read a midi file, change its instrument, and write it back?","for p in s.parts:
    p.insert(0, instrument.Violin())"
generating a remapped numpy array as a view.,"def __array__(self):
    return self._array[self._index]

def __getitem__(self, index):
    return self._array[self._index[index]]
b = FancyView(a, p)"
duplicate a tensorflow graph,"with tf.Session(graph=graphA) as sess:
    sess.run(init)"
throttling with urllib2,t.join()
multi-indexing - accessing the last time in every day,"df['DateTime'] = pd.to_datetime(df['DateTime'])
idx = df.groupby(df['DateTime'].dt.date)['DateTime'].idxmax()"
python convert csv to xlsx,reader = csv.reader(f)
how to define free-variable in python?,"def baz():
    pass"
connecting to a remote ipython instance,print('succeeded!')
overiding __mul__ in two dimensional vector class to preserve commutivity,"y = Point(1, 3)"
update dynamodb atomic counter with python / boto,"c = boto.connect_dynamodb()
t = c.get_table('counter')"
unpacking more than one list as argument for a function,pass
parsing an equation with custom functions in python,"debug('not defined function', node.func.id)"
how to access a superclass's class attributes in python?,"class B(A):
    pass"
python sha1 integer,hashlib.sha1('\xd2\x04\x00\x00').hexdigest()
python : how to convert markdown formatted text to text,from BeautifulSoup import BeautifulSoup
how can i convert unicode to uppercase to print it?,_harden_stdout()
convert string into date type on python,"date = datetime.datetime.strptime('2012-02-11', '%Y-%m-%d')
if date.isoweekday() == 6:
    date += datetime.timedelta(days=2)
date
date.strftime('%Y-%m-%d')"
how to import or include data structures (e.g. a dict) into a python file from a separate file,eval(open('myDict').read())
matplotlib: how to decrease density of tick labels in subplots?,"import matplotlib.pyplot as plt
fig = plt.figure()
ax = fig.add_subplot(1, 1, 1)
max_yticks = 100
yloc = plt.MaxNLocator(max_yticks)
ax.yaxis.set_major_locator(yloc)
plt.show()"
"python image library (pil), how to compress image into desired file size?",image.file = open(image.file.name)
catching an exception while using a python 'with' statement,"print('IOError:', err)"
how to show the last message of each user to user conversations to keep a chat history?,"print(user.last_message_time)
print(user.message)"
"python - get process names,cpu,mem usage and peak mem usage in windows","if seekitem in str1:
    print('Requested process is running')
processcheck('System')"
python decorator with flask,"def my_function(*takes_multiple_arguments):
    pass
my_function = decorator(my_function)"
how to visualize descriptor matching using opencv module in python,"bf = cv2.BFMatcher(cv2.NORM_HAMMING, crossCheck=True)"
most pythonic way of counting matching elements in something iterable,"for e in iterable:
    for i, p in enumerate(predicates):
        if p(e):
            pass"
python's implementation of permutation test with permutation number as input,"def exact_mc_perm_test(xs, ys, nmc):
    n, k = len(xs), 0
diff = np.abs(np.mean(xs) - np.mean(ys))
zs = np.concatenate([xs, ys])
for j in range(nmc):
    np.random.shuffle(zs)
k += diff < np.abs(np.mean(zs[:n]) - np.mean(zs[n:]))
return k / nmc"
"""for loop"" with two variables?",return list(set(t1).intersection(set(t2)))
how to show pil image in ipython notebook,from PIL import Image
"sparkstreaming, rabbitmq and mqtt in python using pika",ssc.awaitTermination()
python dealing with nonetype before cast\addition,"def non_null(*fields):
    for f in fields:
        if f is not None:
            pass"
"python: get twitter trends in tweepy, and parse json","names = [trend['name'] for trend in trends]
trendsName = ' '.join(names)
print(trendsName)"
scrapy set depth limit per allowed_domains,return (r for r in result or () if _filter(r))
import local function from a module housed in another directory with relative imports in jupyter notebook using python3,"import os
import sys
module_path = os.path.abspath(os.path.join('..'))
if module_path not in sys.path:
    sys.path.append(module_path)"
"genetic cellular automata with pycuda, how to efficiently pass a lot of data per cell to cuda kernel?","Mk = 64
Tk = 1000
emit_gpu = ElementwiseKernel('int4 *cells, int w, int h, int cn',
    """"""
    int x = i / h;
    int y = i % h;
    int4 cell = cells[i];
    int Fc = cell.x;
    int Mc = cell.y;
    int Tc = cell.z;
    float M = (float) Mc;
    float T = (float) Tc;
    int Mi = (int) (fmin(1, T / Tk) * M);
    cells[i] = make_int4(Fc, Mc - Mi, Tc - (int) (T * fmin(1, T / Tk)), 0);
    int Mbase = Mi / 8;
    int Mpart = Mi % 8;
    int Madd;
    int ii;
    int xo, yo;
    int cnn = 0;
    for (int dx = -1; dx < 2; dx++) {
      xo = x + dx;
      if (xo < 0) xo = w + xo; else if (xo >= w) xo = xo - w;
      for (int dy = -1; dy < 2; dy++) {
        if (dx == 0 && dy == 0) continue;
        cnn += cn;
        yo = y + dy;
        if (yo < 0) yo = h + yo; else if (yo >= h) yo = yo - h;
        if (Mpart > 0) { Madd = 1; Mpart--;} else Madd = 0;
        ii = (xo * h + yo) + cnn;
        cells[ii] = make_int4(Fc, Mbase + Madd, Tc, 0);
      }
    } 
""""""
    , 'ca_emit', preamble='\n' % (Tk, CELL_LEN))
absorb_gpu = ElementwiseKernel('int4 *cells, int *img, int w, int h, int cn',
    """"""
    int ii = i;
    int4 cell = cells[i];
    int Fc = cell.x;
    int Mc = cell.y;
    int Tc = cell.z;
    for (int c=0; c < 8; c++){
      ii += cn;
      cell = cells[ii];
      int Fi = cell.x;
      int Mi = cell.y;
      int Ti = cell.z;
      int dF = Fi - Fc;
      if (dF > 180) Fc += 360;
      if (dF < -180) Fc -= 360;
      float sM = Mi + Mc;
      if (sM != 0) sM = Mi / sM; else sM = 0;
      dF = (int) (Fi - Fc) * sM;
      int dM = Mi;
      int dT = fabs((float) (Fi - Fc)) * fmin((float) Mc, (float) Mi) / Mk + (Ti - Tc) * sM;
      Fc += dF;
      Mc += dM;
      Tc += dT;
      Fc = Fc % 360;
      if (Fc < 0) Fc += 360;
      if (Tc > Tk) Tc = Tk;
    }      
    cells[i] = make_int4(Fc, Mc, Tc, 0);
    img[i] = hsv2rgb(Fc, Tc, Mc);
""""""
    , 'ca_absorb', preamble=
    """"""
__device__ uint hsv2rgb(int hue, int sat, int val) {
    // skipped for brevity
}
""""""
     % (Mk, Tk))"
remove the newline character in a list read from a file,"with open('grades.dat') as input:
    grades = [line.split(',') for line in input.read().splitlines()]"
"""online"" monkey patching of a function","def handle_default(x):
    print('handle_default: {0!r}'.format(x))
handler = {int: handle_default, str: handle_default}"
python udisks - enumerating device information,"print(device_props.Get('org.freedesktop.UDisks.Device', 'DriveVendor'))"
python opening and reading files one liner,return file_handle.write_to(text)
numpy - weird behavior with plus equal with slicing,a
finding the current active window in mac os x using python,"from AppKit import NSWorkspace
active_app_name = NSWorkspace.sharedWorkspace().frontmostApplication(
    ).localizedName()
print(active_app_name)"
how to send an array over a socket in python,"s = socket.socket(socket.AF_INET, socket.SOCK_STREAM)
s.bind((HOST, PORT))
s.listen(1)
conn, addr = s.accept()
print('Connected by', addr)
while 1:
    data = conn.recv(4096)
if not data:
    break
conn.send(data)
conn.close()"
drop all namespaces in lxml?,"print('=====================================================================')
print(etree.tostring(root, pretty_print=True))
print('=====================================================================')
dropns(root)
print(etree.tostring(root, pretty_print=True))
print('=====================================================================')"
how can i create a list containing another list's elements in the middle in python?,list_c = []
normalize numpy array columns in python,import numpy as np
scipy normaltest how is it used?,stats.normaltest(x)
image aspect ratio using reportlab in python,"story.append(get_image('stack.png', width=4 * cm))
story.append(get_image('stack.png', width=8 * cm))"
how to add different graphs (as an inset) in another python graph,"import matplotlib.pyplot as plt
fig, ax1 = plt.subplots()"
how do i require https for this django view?,from django.contrib.auth.views import login
making an asynchronous task in flask,"@app.route('/render/<id>', methods=['POST'])
def render_script(id=None):
    pass"
calculating angle between two lines in python,"def get_angle(p0, p1=np.array([0, 0]), p2=None):
    pass"
"in python, is there a setdefault() equivalent for getting object attributes?",return value
holiday files for g20 countries,"from workalendar.europe import France
cal = France()"
case-insensitive string startswith in python,"ch1 = s[1]
substr = ch0 == 'h' or ch0 == 'H' and ch1 == 'e' or ch1 == 'E'"
python pil image in label auto resize,"self.configure(width=imagesize[0], height=imagesize[1])"
how to match a string of a certain length with a regex,s = ''
python datatype for a fixed-length fifo,"d.appendleft('new.com')
print(d)"
puzzled on how to slice a numpy array,"a = np.arange(9).reshape(3, 3)
a"
how to pass member function as argument in python?,"def greet(f, name):
    pass"
how can i make python 2.6 my default in mac os x lion?,python - V
how can i ignore zeros when i take the median on columns of an array?,"x = np.array([[10, 0, 10, 0], [1, 1, 0, 0], [9, 9, 9, 0], [0, 10, 1, 0]])
y = np.ma.masked_where(x == 0, x)
x
y
np.median(x, axis=0)
np.ma.median(y, axis=0).filled(0)"
"how can i pass null to an external library, using ctypes, with an argument declared with ctypeslib.ndpointer?",return _ComplexArrayTypeBase.from_param(obj)
how do i do a f-test in python,import scipy.stats as stats
how to print the full traceback without halting the program?,"try:
    try:
        raise TypeError('Again !?!')
    except:
        pass
finally:
    pass"
ordering a many-to-many field in django admin,"class Meta:
    model = Product"
